1024	7
2048	12
4096	24
8192	48
16384	95
32768	190
65536	380
131072	628
262144	682
524288	1448
1048576	3236
2097152	5789
4194304	11583
8388608	23224
16777216	46485
33554432	95594
67108864	186893
134217728	371136
